work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,SE,FT,Scientist,130000,USD,130000,US,100,US,M
2024,SE,FT,Engineer,140000,USD,140000,US,100,US,M
2024,SE,FT,Engineer,97200,USD,97200,US,100,US,M
2024,MI,FT,Scientist,179000,USD,179000,US,0,US,M
2024,MI,FT,Scientist,112000,USD,112000,US,0,US,M
2024,SE,FT,Finance,140000,USD,140000,US,100,US,M
2024,SE,FT,Finance,120000,USD,120000,US,100,US,M
2024,MI,FT,Engineer,308000,USD,308000,US,0,US,M
2024,MI,FT,Engineer,193000,USD,193000,US,0,US,M
2024,SE,FT,Engineer,240000,USD,240000,US,0,US,M
2024,SE,FT,Engineer,180000,USD,180000,US,0,US,M
2024,SE,FT,Finance,126480,USD,126480,US,0,US,M
2024,SE,FT,Finance,82620,USD,82620,US,0,US,M
2024,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Engineer,159000,USD,159000,US,0,US,M
2024,MI,FT,Scientist,140025,USD,140025,US,100,US,M
2024,MI,FT,Scientist,102300,USD,102300,US,100,US,M
2024,SE,FT,Engineer,180000,USD,180000,US,0,US,M
2024,SE,FT,Engineer,150000,USD,150000,US,0,US,M
2024,MI,FT,Scientist,224000,USD,224000,CA,0,CA,M
2024,MI,FT,Scientist,146000,USD,146000,CA,0,CA,M
2024,SE,FT,Engineer,120000,GBP,150000,GB,100,GB,M
2024,SE,FT,Engineer,90000,GBP,112500,GB,100,GB,M
2024,MI,FT,Scientist,81500,USD,81500,US,100,US,M
2024,MI,FT,Scientist,75000,USD,75000,US,100,US,M
2024,SE,FT,Scientist,106875,USD,106875,US,0,US,M
2024,SE,FT,Scientist,71250,USD,71250,US,0,US,M
2024,MI,FT,Engineer,245000,USD,245000,US,100,US,M
2024,MI,FT,Engineer,135000,USD,135000,US,100,US,M
2024,SE,FT,IT,144138,USD,144138,US,0,US,M
2024,SE,FT,IT,104828,USD,104828,US,0,US,M
2024,SE,FT,Scientist,161000,USD,161000,US,0,US,M
2024,SE,FT,Scientist,133200,USD,133200,US,0,US,M
2024,MI,FT,Scientist,161875,USD,161875,US,0,US,M
2024,MI,FT,Scientist,97125,USD,97125,US,0,US,M
2024,SE,FT,Engineer,196350,USD,196350,US,100,US,M
2024,SE,FT,Engineer,127500,USD,127500,US,100,US,M
2024,MI,FT,Scientist,135450,USD,135450,US,100,US,M
2024,MI,FT,Scientist,72870,USD,72870,US,100,US,M
2024,SE,FT,IT,237200,USD,237200,US,0,US,M
2024,SE,FT,IT,172500,USD,172500,US,0,US,M
2024,SE,FT,Scientist,184800,USD,184800,US,0,US,M
2024,SE,FT,Scientist,161900,USD,161900,US,0,US,M
2024,SE,FT,Scientist,146800,USD,146800,US,0,US,M
2024,SE,FT,Scientist,117400,USD,117400,US,0,US,M
2024,EN,FT,Finance,90000,USD,90000,US,0,US,M
2024,EN,FT,Finance,60000,USD,60000,US,0,US,M
2024,SE,FT,Public Relations,227200,USD,227200,US,0,US,M
2024,SE,FT,Public Relations,199100,USD,199100,US,0,US,M
2024,MI,FT,Scientist,310000,USD,310000,US,0,US,M
2024,MI,FT,Scientist,245000,USD,245000,US,0,US,M
2024,SE,FT,Engineer,140000,USD,140000,US,0,US,M
2024,SE,FT,Engineer,125000,USD,125000,US,0,US,M
2024,MI,FT,Engineer,223000,USD,223000,US,0,US,M
2024,MI,FT,Engineer,171600,USD,171600,US,0,US,M
2024,SE,FT,Finance,192500,USD,192500,US,100,US,M
2024,SE,FT,Finance,122500,USD,122500,US,100,US,M
2024,SE,FT,Finance,162900,USD,162900,US,100,US,M
2024,SE,FT,Finance,117725,USD,117725,US,100,US,M
2024,EN,FT,Finance,140000,USD,140000,US,0,US,M
2024,EN,FT,Finance,100000,USD,100000,US,0,US,M
2024,MI,FT,Engineer,170000,USD,170000,US,100,US,M
2024,MI,FT,Engineer,105000,USD,105000,US,100,US,M
2024,SE,FT,Scientist,180000,USD,180000,US,0,US,M
2024,SE,FT,Scientist,139000,USD,139000,US,0,US,M
2024,SE,FT,Engineer,234200,USD,234200,US,0,US,M
2024,SE,FT,Engineer,124000,USD,124000,US,0,US,M
2024,MI,FT,Scientist,153700,USD,153700,US,100,US,M
2024,MI,FT,Scientist,87300,USD,87300,US,100,US,M
2024,SE,FT,Engineer,282000,USD,282000,US,0,US,M
2024,SE,FT,Engineer,208000,USD,208000,US,0,US,M
2024,SE,FT,Scientist,70000,EUR,77777,PT,0,PT,M
2024,SE,FT,Scientist,60000,EUR,66666,PT,0,PT,M
2024,MI,FT,Engineer,162000,USD,162000,US,100,US,M
2024,MI,FT,Engineer,129000,USD,129000,US,100,US,M
2024,SE,FT,Scientist,138000,USD,138000,US,0,US,M
2024,SE,FT,Scientist,86000,USD,86000,US,0,US,M
2024,MI,FT,Engineer,90000,EUR,100000,IE,100,IE,M
2024,MI,FT,Engineer,85000,EUR,94444,IE,100,IE,M
2024,EN,FT,Finance,110000,USD,110000,US,0,US,M
2024,EN,FT,Finance,90000,USD,90000,US,0,US,M
2024,SE,FT,Engineer,255800,USD,255800,US,0,US,M
2024,SE,FT,Engineer,176000,USD,176000,US,0,US,M
2024,EN,FT,Finance,120000,USD,120000,US,100,US,M
2024,EN,FT,Finance,105000,USD,105000,US,100,US,M
2024,SE,FT,Engineer,104755,GBP,130943,GB,0,GB,M
2024,SE,FT,Engineer,83376,GBP,104220,GB,0,GB,M
2024,EN,FT,Finance,40000,GBP,50000,GB,100,GB,M
2024,EN,FT,Finance,35000,GBP,43750,GB,100,GB,M
2024,MI,FT,Engineer,210000,USD,210000,US,0,US,M
2024,MI,FT,Engineer,140000,USD,140000,US,0,US,M
2024,MI,FT,Engineer,37000,GBP,46250,GB,100,GB,M
2024,MI,FT,Engineer,24000,GBP,30000,GB,100,GB,M
2024,SE,FT,Engineer,165000,USD,165000,US,100,US,M
2024,SE,FT,Engineer,150000,USD,150000,US,100,US,M
2024,SE,FT,IT,160000,USD,160000,US,0,US,M
2024,SE,FT,IT,130000,USD,130000,US,0,US,M
2024,EN,FT,Finance,156000,USD,156000,US,0,US,M
2024,EN,FT,Finance,124000,USD,124000,US,0,US,M
2024,SE,FT,Engineer,189000,USD,189000,US,100,US,M
2024,SE,FT,Engineer,140000,USD,140000,US,100,US,M
2024,SE,FT,Finance,158494,USD,158494,US,100,US,M
2024,SE,FT,Finance,88052,USD,88052,US,100,US,M
2024,SE,FT,Engineer,175000,USD,175000,US,0,US,M
2024,SE,FT,Engineer,140000,USD,140000,US,0,US,M
2024,MI,FT,IT,111000,USD,111000,US,0,US,M
2024,MI,FT,IT,79200,USD,79200,US,0,US,M
2024,SE,FT,Finance,220000,USD,220000,US,100,US,M
2024,SE,FT,Finance,170000,USD,170000,US,100,US,M
2024,SE,FT,Scientist,195500,USD,195500,US,100,US,M
2024,SE,FT,Scientist,141300,USD,141300,US,100,US,M
2024,SE,FT,Engineer,139810,USD,139810,US,0,US,M
2024,SE,FT,Engineer,95325,USD,95325,US,0,US,M
2023,SE,FT,IT,258700,USD,258700,US,0,US,M
2023,SE,FT,IT,146600,USD,146600,US,0,US,M
2023,MI,FT,IT,190000,USD,190000,US,100,US,M
2023,MI,FT,IT,160000,USD,160000,US,100,US,M
2023,EN,FT,Finance,90000,USD,90000,US,100,US,M
2023,EN,FT,Finance,65000,USD,65000,US,100,US,M
2023,MI,FT,Engineer,160000,USD,160000,US,100,US,M
2023,MI,FT,Engineer,130000,USD,130000,US,100,US,M
2023,MI,FT,Finance,85000,USD,85000,US,0,US,M
2023,MI,FT,Finance,65000,USD,65000,US,0,US,M
2023,SE,FT,IT,143800,USD,143800,US,0,US,M
2023,SE,FT,IT,95800,USD,95800,US,0,US,M
2023,MI,FT,Engineer,166000,USD,166000,US,0,US,M
2023,MI,FT,Engineer,73100,USD,73100,US,0,US,M
2023,MI,FT,Engineer,114000,USD,114000,US,0,US,M
2023,MI,FT,Engineer,72000,USD,72000,US,0,US,M
2023,MI,FT,Finance,102500,USD,102500,US,0,US,M
2023,MI,FT,Finance,65000,USD,65000,US,0,US,M
2023,SE,FT,Engineer,258700,USD,258700,US,0,US,M
2023,SE,FT,Engineer,160000,USD,160000,US,0,US,M
2023,SE,FT,Scientist,203649,USD,203649,US,100,US,M
2023,SE,FT,Scientist,183284,USD,183284,US,100,US,M
2023,MI,FT,Scientist,56000,EUR,60462,DE,100,DE,L
2023,EN,FT,Finance,27000,GBP,33220,GB,0,GB,M
2023,EN,FT,Finance,27000,GBP,33220,GB,0,GB,M
2023,MI,FT,IT,81800,USD,81800,US,0,US,M
2023,MI,FT,IT,70800,USD,70800,US,0,US,M
2023,SE,FT,Finance,130000,USD,130000,US,0,US,M
2023,SE,FT,Finance,80850,USD,80850,US,0,US,M
2023,SE,FT,Engineer,215000,USD,215000,US,0,US,M
2023,SE,FT,Engineer,146900,USD,146900,US,0,US,M
2023,SE,FT,IT,242000,USD,242000,US,0,US,M
2023,SE,FT,IT,106200,USD,106200,US,0,US,M
2023,MI,FT,Engineer,165000,USD,165000,US,0,US,M
2023,MI,FT,Engineer,135000,USD,135000,US,0,US,M
2023,EN,FT,Finance,75065,USD,75065,US,100,US,M
2023,EN,FT,Finance,41419,USD,41419,US,100,US,M
2023,SE,FT,Engineer,145000,USD,145000,US,100,US,M
2023,SE,FT,Engineer,120000,USD,120000,US,100,US,M
2023,SE,FT,Public Relations,184000,USD,184000,US,0,US,M
2023,SE,FT,Public Relations,112000,USD,112000,US,0,US,M
2023,SE,FT,Engineer,275000,USD,275000,US,0,US,M
2023,SE,FT,Engineer,170000,USD,170000,US,0,US,M
2023,EN,FT,Scientist,100000,USD,100000,US,0,US,M
2023,EN,FT,Scientist,70000,USD,70000,US,0,US,M
2023,MI,FT,IT,45000,GBP,55368,GB,0,GB,M
2023,MI,FT,IT,25000,GBP,30760,GB,0,GB,M
2023,MI,FT,Scientist,135700,USD,135700,US,0,US,M
2023,MI,FT,Scientist,108560,USD,108560,US,0,US,M
2023,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Engineer,180000,USD,180000,US,0,US,M
2023,SE,FT,Finance,189000,USD,189000,US,100,US,M
2023,SE,FT,Finance,118100,USD,118100,US,100,US,M
2023,SE,FT,IT,148300,USD,148300,US,0,US,M
2023,SE,FT,IT,84700,USD,84700,US,0,US,M
2023,EN,FT,Engineer,32982,GBP,40581,ZA,0,ZA,M
2023,EN,FT,Engineer,31396,GBP,38629,ZA,0,ZA,M
2023,SE,FT,Engineer,275000,USD,275000,DE,0,DE,M
2023,SE,FT,Engineer,121200,USD,121200,DE,0,DE,M
2023,MI,FT,Engineer,149925,USD,149925,US,0,US,M
2023,MI,FT,Engineer,91260,USD,91260,US,0,US,M
2023,SE,FT,IT,70000,GBP,86128,GB,0,GB,M
2023,SE,FT,IT,60600,GBP,74562,GB,0,GB,M
2023,SE,FT,Scientist,277000,USD,277000,US,0,US,M
2023,SE,FT,Scientist,173000,USD,173000,US,0,US,M
2023,SE,FT,Scientist,242000,USD,242000,AU,0,AU,M
2023,SE,FT,Scientist,106200,USD,106200,AU,0,AU,M
2023,MI,FT,IT,56000,GBP,68902,GB,0,GB,M
2023,MI,FT,IT,40000,GBP,49216,GB,0,GB,M
2023,SE,FT,Scientist,250900,USD,250900,US,0,US,M
2023,SE,FT,Scientist,135200,USD,135200,US,0,US,M
2023,SE,FT,Scientist,187415,USD,187415,US,0,US,M
2023,SE,FT,Scientist,114080,USD,114080,US,0,US,M
2023,MI,FT,Scientist,220000,USD,220000,US,0,US,M
2023,MI,FT,Scientist,137500,USD,137500,US,0,US,M
2023,MI,FT,Finance,119000,USD,119000,US,0,US,M
2023,MI,FT,Finance,52100,USD,52100,US,0,US,M
2023,SE,FT,IT,120000,USD,120000,US,100,US,M
2023,SE,FT,IT,102000,USD,102000,US,100,US,M
2023,EN,FT,Finance,64000,USD,64000,US,0,US,M
2023,EN,FT,Finance,60000,USD,60000,US,0,US,M
2023,MI,FT,Engineer,179000,USD,179000,US,0,US,M
2023,MI,FT,Engineer,112000,USD,112000,US,0,US,M
2023,EN,FT,Finance,65000,USD,65000,US,0,US,M
2023,EN,FT,Finance,54000,USD,54000,US,0,US,M
2023,MI,FT,Finance,119000,USD,119000,US,0,US,M
2023,MI,FT,Finance,52100,USD,52100,US,0,US,M
2023,MI,FT,Engineer,152000,USD,152000,CA,100,CA,M
2023,MI,FT,Engineer,99000,USD,99000,CA,100,CA,M
2023,EX,FT,IT,90000,GBP,110736,GB,100,GB,M
2023,EX,FT,IT,75000,GBP,92280,GB,100,GB,M
2023,SE,FT,Engineer,250000,USD,250000,US,0,US,M
2023,SE,FT,Engineer,140000,USD,140000,US,0,US,M
2023,EN,FT,Scientist,113800,USD,113800,US,0,US,M
2023,EN,FT,Scientist,63200,USD,63200,US,0,US,M
2023,SE,FT,Scientist,210000,USD,210000,US,0,US,M
2023,SE,FT,Scientist,160000,USD,160000,US,0,US,M
2023,MI,FT,Engineer,170000,USD,170000,US,0,US,M
2023,MI,FT,Engineer,130000,USD,130000,US,0,US,M
2023,SE,FT,Scientist,247600,USD,247600,US,0,US,L
2023,SE,FT,Scientist,127300,USD,127300,US,0,US,L
2023,MI,FT,Finance,85000,USD,85000,US,0,US,M
2023,MI,FT,Finance,65000,USD,65000,US,0,US,M
2023,MI,FT,Engineer,125000,USD,125000,US,0,US,M
2023,MI,FT,Engineer,100000,USD,100000,US,0,US,M
2023,SE,FT,Scientist,160000,USD,160000,US,0,US,M
2023,SE,FT,Scientist,140000,USD,140000,US,0,US,M
2023,SE,FT,Engineer,247300,USD,247300,US,0,US,M
2023,SE,FT,Engineer,139700,USD,139700,US,0,US,M
2023,SE,FT,Finance,192000,USD,192000,US,100,US,M
2023,SE,FT,Finance,138240,USD,138240,US,100,US,M
2023,SE,FT,Scientist,170000,USD,170000,US,0,US,M
2023,SE,FT,Scientist,130000,USD,130000,US,0,US,M
2023,SE,FT,IT,100000,USD,100000,US,100,US,M
2023,SE,FT,IT,90000,USD,90000,US,100,US,M
2023,SE,FT,Finance,170000,USD,170000,US,100,US,M
2023,SE,FT,Finance,130000,USD,130000,US,100,US,M
2023,MI,FT,Engineer,186000,USD,186000,US,0,US,M
2023,MI,FT,Engineer,81800,USD,81800,US,0,US,M
2023,SE,FT,Engineer,180514,USD,180514,GB,100,GB,M
2023,SE,FT,Engineer,108308,USD,108308,GB,100,GB,M
2023,SE,FT,Engineer,166000,USD,166000,US,0,US,M
2023,SE,FT,Engineer,73100,USD,73100,US,0,US,M
2023,MI,FT,Finance,115950,USD,115950,US,0,US,M
2023,MI,FT,Finance,69570,USD,69570,US,0,US,M
2023,SE,FT,IT,142300,USD,142300,US,0,US,M
2023,SE,FT,IT,71200,USD,71200,US,0,US,M
2023,MI,FT,IT,179000,USD,179000,US,0,US,M
2023,MI,FT,IT,106500,USD,106500,US,0,US,M
2023,SE,FT,Finance,119200,USD,119200,US,100,US,M
2023,SE,FT,Finance,86600,USD,86600,US,100,US,M
2023,SE,FT,Engineer,140544,USD,140544,US,100,US,M
2023,SE,FT,Engineer,82673,USD,82673,US,100,US,M
2023,SE,FT,Engineer,108350,USD,108350,US,0,US,M
2023,SE,FT,Engineer,78800,USD,78800,US,0,US,M
2023,SE,FT,Engineer,162540,USD,162540,US,0,US,M
2023,SE,FT,Engineer,87570,USD,87570,US,0,US,M
2023,SE,FT,IT,213600,USD,213600,US,0,US,M
2023,SE,FT,IT,103200,USD,103200,US,0,US,M
2023,MI,FT,Engineer,140000,USD,140000,US,0,US,M
2023,MI,FT,Engineer,90000,USD,90000,US,0,US,M
2023,MI,FT,Scientist,212000,USD,212000,US,0,US,M
2023,MI,FT,Scientist,93300,USD,93300,US,0,US,M
2023,MI,FT,Scientist,222200,USD,222200,US,0,US,L
2023,MI,FT,Scientist,136000,USD,136000,US,0,US,L
